Judul Artikel,Kalimat Artikel,Jenis Berita
55 Contoh Majas Sinisme yang Sindirannya Pedas,"Jakarta-Majas sinismeadalah salah satu jenis majas sindiran. Sesuai namanya, majas ini digunakan untuk menyindir atau memberi ungkapan kasar kepada seseorang atau sesuatu.Majas ini seringkali mengandung kata-kata kasar untuk meluapkan emosi seseorang. Jadi, apa detikers ingin tahu apa saja contoh majas sinisme? Simak uraian di bawah ini sampai akhir.Apa ItuMajas Sinisme?Majas sinisme adalah majas yang bisa mengungkapkan kata sindiran secara kasar dan umumnya digunakan untuk mengkritik atau mencemooh sesuatu baik berupa ide, maksud, atau rencana, sebagaimana dikutip dari bukuUltralengkap Peribahasa Indonesiaoleh Nur Indah Sholikhati.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTDikutip dari bukuSiap Hadapi Detik-Detik UNoleh Amin Mustofa, majas sinisme merupakan majas yang menyindir seseorang atau sesuatu secara langsung. Dalam penggunaannya, majas sinisme ini dianggap kasar karena mengandung pandangan atau sikap yang cenderung mengejek.Baca juga:60 Contoh Majas Hiperbola Sehari-hari, Siswa Perlu TahuBaca juga:Apa Itu Majas Sarkasme?",Edukasi
Hasil Kebudayaan Zaman Logam Lengkap dengan Contoh Bendanya,"Jakarta-Zaman logam merupakan salah satu masa atau periode yang dilalui oleh manusia praaksara setelah masa batu. Pada zaman ini manusia sudah semakin maju dan terampil dalam membuat benda-benda dari logam.Pada masa ini juga manusia sudah mengenal teknik-teknik pembuatan benda dari logam untuk alat sehari-hari. Lantas apa saja contoh hasil kebudayaan zaman Logam ini?Baca juga:Contoh-contoh Peninggalan Manusia Purba: Zaman Batu Tua sampai Batu BesarBaca juga:Ternyata Parenting Zaman Batu Lebih Baik dari Zaman Sekarang, Ini Kata StudiMengenal Zaman LogamZaman logam merupakan periode yang mengakhiri zaman batu masa Neolitikum dan Megalitikum atau batu besar. Dikutip dari buku ""Sejarah Nasional Indonesia: Edisi Revisi 2013"" oleh Edi Hernadi, zaman logam di kepulauan Indonesia sedikit berbeda dengan yang ada di Eropa.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTZaman logam di Eropa mengalami tiga periode, yaitu zaman tembaga, zaman perunggu, dan dan besi. Sedangkan di Indonesia hanya mengalami zaman perunggu dan besi.",Edukasi
"Pengertian CFC, Ciri-ciri dan Dampaknya bagi Lingkungan","Jakarta-CFC atau klorofluorokarbon adalah senyawa yang digunakan untuk membuat suhu dingin pada alat pendingin yang memiliki dampak buruk bagi lingkungan.Untuk diketahui, bahwa dalam menciptakan alat pendingin, dibutuhkan senyawa-senyawa seperti untuk menghasilkan suhu yang rendah, seperti di ruangan pendingin dan lemari es.Walaupun tidak berdampak langsung pada manusia, pada kenyataannya senyawa ini memiliki dampak buruk pada berbagai kehidupan, baik di darat maupun di laut. Senyawa yang digunakan ini adalah CFC.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:Separah Apa Kita Sudah Merusak Bumi?Baca juga:Efek Rumah Kaca: Pengertian, Proses Terjadi, hingga Usaha MenguranginyaPengertian CFCFreon menjadi nama dagang dari klorofluorokarbon (chloro fluoro carbon) yang biasa disebut CFC adalah senyawa buatan yang terdiri dari klorin, fluorin, dan karbon.Mengutip dari buku ""Cerdas Belajar Kimia untuk kelas XII SMA/MA"" oleh Nana Sutresna, CFC biasanya digunakan dalam pendingin ruangan dan lemari es sebagai bahan pendingin, serta dalam produk aerosol seperti hairspray dan cat semprot karena mudah berubah bentuk dari cair ke gas.Ada dua jenis CFC, yakni freon 11 (F-11) atau trikloro-fluoro metana, dan freon 12 (F-12) atau diklorodifluorometana. Namun, perlu dicatat bahwa CFC dapat merusak lapisan ozon yang berfungsi melindungi Bumi dari sinar UV.Ciri-ciri CFCBerikut adalah ciri-ciri dari gas CFC yang dikutip dari beberapa sumber.1. Umumnya tidak memiliki waran2. Tidak memiliki bau3.",Edukasi
"Titrasi Asam Basa: Pengertian, Jenis, Prosedur, Rumus, dan Contoh Soalnya","Daftar IsiPengertian Titrasi Asam BasaJenis-jenis Titrasi Asam BasaTitrasi AsidimetriTitrasi AlkalimetriProsedur Titrasi Asam BasaRumus Titrasi Asam BasaJakarta-Dalam mata pelajaran Kimia, ada pembahasan mengenai larutan. Larutan merupakan sebuah campuran dari zat pelarut dan terlarut. Konsentrasi larutan bisa ditentukan melalui berbagai cara. Salah satu caranya adalah dengan melakukan titrasi.Titrasi dibagi menjadi 3 yaitu titrasi asam basa, pengendapan, dan redoks. Titrasi asam biasa biasanya dilakukan pada laboratorium menggunakan alat dan bahan yang sudah ditentukan.Sebelum melakukan eksperimen di laboratorium, ada baiknya mengetahui terlebih dulu apa itu titrasi asam basa, jenis titrasi asam basa, prosedur, dan bagaimana rumusnya.",Edukasi
Nama Organ Gerak Cacing Lengkap dengan Penjelasannya,"Jakarta-Cacing adalah salah satu jenis hewan invertebrata, yang termasuk dalam kelompok makhluk hidup yang tidak memiliki tulang belakang atau kerangka dalam. Lantas bagaimana organ gerak cacing jika tak memiliki tulang belakang?Berbeda dengan vertebrata, cacing tidak memiliki tulang belakang yang mendukung tubuhnya. Mereka memiliki tubuh yang terdiri dari segmen-segmen.Organ Gerak CacingCacing (Vermes) adalah hewan yang bertubuh lunak. Cacing tidak memiliki cangkang, dan tubuhnya simetris bilateral.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTSecara morfologi, tubuh cacing terdiri dari segmen-segmen berbentuk cincin, di mana setiap segmen umumnya dilengkapi dengan setae (struktur fungsional), kecuali pada 2 segmen pertama.Setae sendiri adalah struktur menyerupai rambut yang memiliki peran sebagai organ gerak cacing. Setae berfungsi untuk menggali substrat dan memegangi pasangan selama proses kopulasi sehingga menjadikannya bagian penting dari sistem gerak cacing tanah, sebagaimana dikutip dari Jurnal Unnes karya Dewi Indriyani Roslim dkk.Baca juga:Ngeri!",Edukasi
5 Contoh Kutipan Langsung Beserta Cara Penulisannya,"Daftar IsiPengertian Kutipan LangsungCara Menulis Kutipan Langsung1. Menulis Kutipan Langsung Pendek2. Menulis Kutipan Langsung PanjangContoh Kutipan Langsung PendekContoh Kutipan Langsung PanjangJakarta-Dalam penulisan karya ilmiah atau buku, tak sedikit penulis yang menggunakan beberapa referensi untuk memperkuat tulisan atau argumennnya. Karena itu, biasanya mereka menuliskan kalimat kutipan.Dalam bahasa Indonesia, salah satu jenis kalimat kutipan di antaranya adalah kutipan langsung. Apa itu kutipan langsung?",Edukasi
Mengenal Tari Tunggal: Pengertian dan Contohnya,"Daftar IsiPengertian Tari TunggalContoh Tari Tunggal1. Tari Tunggal Ritual2. Tari Tunggal Tradisional3. Tari Tunggal KreasiJakarta-Detikers pernah melihat pertunjukan tari yang dibawakan oleh satu orang saja? Kalau pernah, itulah yang disebut jenis tari tunggal.Nah, sebelum membahas lebih jauh soal tari tunggal kamu perlu tahu pengertian tari terlebih dulu.",Edukasi
"Potret Dies Natalis ke-46 UPNVJ, Prof Wicipto Orasi Ilmiah soal Reformasi Hukum","Jakarta- Dies Natalis ke-46 UPN Veteran Jakarta (UPNVJ) dengan tema ""UPNVJ Terus Maju"" ditutup dengan orasi ilmiah Prof Dr Wicipto Setiadi, SH, MH soal reformasi hukum.",Edukasi
"Infografis: Mengenal Le Cordon Bleu, Sekolah Kuliner Top Dunia!",Jakarta- Le Cordon Bleu sedang jadi buah bibir. Sekolah kuliner top dunia itu banyak menjadi rujukan para pegiat kuliner. Berapa biaya masuk dan siapa saja lulusannya? (nwk/nwk),Edukasi
"20 Contoh Soal PAS IPS Kelas 7 SMP Semester Ganjil Kurikulum Merdeka, Materi Semuanya!","Jakarta-Siswa, berikut 20 contoh soal PAS Ilmu Pengetahuan Sosial (IPS) kelas 7 SMP semester ganjil dengan Kurikulum Merdeka. Berdasarkan buku IPS yang diterbitkan Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) ada dua tema yang dipelajari siswa selama semester satu.Tema pertama berjudul Keluarga Awal Kehidupan yang memuat materi kondisi wilayah Indonesia, peta, sejarah singkat, hingga kebutuhan hidup manusia. Sedangkan tema kedua berjudul Keberagaman Lingkungan Sekitar tentang cara melestarikan sumber daya hingga masalah ekonomi.Untuk itu berikut contoh latihan soal IPA kelas 7 SMP mengutip buku Top No 1 Ulangan Harian karya Tim Guru Indonesia yang memuat seluruh materinya. Yuk belajar!ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:20 Contoh Soal PAS IPA Kelas 7 SMP Semester Ganjil Kurikulum Merdeka, Belajar Yuk!20 Contoh Soal PAS IPS Kelas 7 SMP Semester Ganjil1. Dalam silsilah keluarga terdapat beberapa unsur sejarah sehingga kita mengetahui kehidupan manusia di masa lampau.",Edukasi
